,WT,A20 KO,CYLD KO,A20;CYLD DKO
874,595.1903807615231,595.1903807615231,595.1903807615231,2100
875,606.0120240480962,606.0120240480962,606.0120240480962,2100
876,613.2264529058116,613.2264529058116,613.2264529058116,2100
877,606.0120240480962,609.6192384769539,609.6192384769539,2100
878,631.2625250501002,631.2625250501002,631.2625250501002,2100
879,642.0841683366733,642.0841683366733,642.0841683366733,2100
880,609.6192384769539,609.6192384769539,609.6192384769539,2100
881,634.869739478958,634.869739478958,634.869739478958,2100
882,606.0120240480962,606.0120240480962,606.0120240480962,2100
883,620.440881763527,620.440881763527,620.440881763527,2100
884,624.0480961923848,624.0480961923848,624.0480961923848,2100
885,627.6553106212425,627.6553106212425,627.6553106212425,2100
886,627.6553106212425,627.6553106212425,627.6553106212425,2100
887,624.0480961923848,624.0480961923848,624.0480961923848,2100
888,631.2625250501002,631.2625250501002,631.2625250501002,2100
889,649.2985971943888,649.2985971943888,649.2985971943888,2100
890,606.0120240480962,606.0120240480962,606.0120240480962,2100
891,634.869739478958,634.869739478958,634.869739478958,2100
892,631.2625250501002,631.2625250501002,631.2625250501002,2100
893,591.5831663326653,591.5831663326653,591.5831663326653,2100
894,609.6192384769539,609.6192384769539,609.6192384769539,2100
895,602.4048096192384,602.4048096192384,602.4048096192384,2100
896,631.2625250501002,631.2625250501002,631.2625250501002,2100
897,649.2985971943888,649.2985971943888,2100.0,2100
898,620.440881763527,620.440881763527,620.440881763527,2100
899,609.6192384769539,609.6192384769539,609.6192384769539,2100
900,595.1903807615231,595.1903807615231,595.1903807615231,2100
901,631.2625250501002,631.2625250501002,631.2625250501002,2100
902,616.8336673346694,616.8336673346694,616.8336673346694,2100
903,638.4769539078156,638.4769539078156,638.4769539078156,2100
904,631.2625250501002,631.2625250501002,631.2625250501002,2100
905,638.4769539078156,638.4769539078156,638.4769539078156,2100
906,627.6553106212425,627.6553106212425,627.6553106212425,2100
907,602.4048096192384,602.4048096192384,602.4048096192384,2100
908,645.6913827655311,645.6913827655311,645.6913827655311,2100
909,627.6553106212425,627.6553106212425,627.6553106212425,2100
910,606.0120240480962,606.0120240480962,606.0120240480962,2100
911,595.1903807615231,595.1903807615231,595.1903807615231,2100
912,562.7254509018036,573.5470941883767,573.5470941883767,2100
913,627.6553106212425,627.6553106212425,627.6553106212425,2100
914,598.7975951903808,598.7975951903808,598.7975951903808,2100
915,638.4769539078156,638.4769539078156,642.0841683366733,2100
916,620.440881763527,620.440881763527,620.440881763527,2100
917,602.4048096192384,602.4048096192384,602.4048096192384,2100
918,616.8336673346694,616.8336673346694,616.8336673346694,2100
919,609.6192384769539,609.6192384769539,609.6192384769539,2100
920,624.0480961923848,624.0480961923848,624.0480961923848,2100
921,649.2985971943888,2100.0,2100.0,2100
922,620.440881763527,620.440881763527,620.440881763527,2100
923,602.4048096192384,606.0120240480962,606.0120240480962,2100
924,595.1903807615231,595.1903807615231,595.1903807615231,2100
925,649.2985971943888,649.2985971943888,649.2985971943888,2100
926,620.440881763527,620.440881763527,620.440881763527,2100
927,609.6192384769539,609.6192384769539,609.6192384769539,2100
928,609.6192384769539,609.6192384769539,609.6192384769539,2100
929,613.2264529058116,613.2264529058116,613.2264529058116,2100
930,620.440881763527,620.440881763527,620.440881763527,2100
931,627.6553106212425,627.6553106212425,627.6553106212425,2100
932,631.2625250501002,631.2625250501002,631.2625250501002,2100
933,616.8336673346694,616.8336673346694,616.8336673346694,2100
934,638.4769539078156,638.4769539078156,638.4769539078156,2100
935,631.2625250501002,631.2625250501002,631.2625250501002,2100
936,606.0120240480962,606.0120240480962,606.0120240480962,2100
937,634.869739478958,634.869739478958,634.869739478958,2100
938,627.6553106212425,627.6553106212425,627.6553106212425,2100
939,613.2264529058116,613.2264529058116,613.2264529058116,2100
940,638.4769539078156,638.4769539078156,638.4769539078156,2100
941,609.6192384769539,609.6192384769539,609.6192384769539,2100
